date,product_id,quantity_sold
2026-08-25,PROD-101,4
2026-08-25,PROD-102,2
2026-08-25,PROD-103,6
2026-08-25,PROD-104,1
2026-08-26,PROD-101,5
2026-08-26,PROD-102,1
2026-08-26,PROD-103,4
2026-08-27,PROD-101,3
2026-08-27,PROD-102,3
2026-08-27,PROD-103,7
2026-08-27,PROD-104,2
2026-08-28,PROD-101,6
2026-08-28,PROD-102,2
2026-08-29,PROD-101,4
2026-08-29,PROD-103,5
2026-08-30,PROD-101,5
2026-08-30,PROD-102,1
2026-08-30,PROD-104,1
2026-08-31,PROD-101,4
2026-08-31,PROD-103,6
2026-09-01,PROD-101,7
2026-09-01,PROD-102,2
2026-09-02,PROD-101,3
2026-09-02,PROD-103,4
2026-09-03,PROD-101,5
2026-09-03,PROD-102,3
2026-09-03,PROD-104,1
2026-09-04,PROD-101,6
2026-09-04,PROD-103,5
